frame,timestamp,object_id,class,keypoint_index,x,y,depth,confidence,spatial_spread,avg_distance,formation_area,symmetry_score,num_performers,distance,distance_to_com
0,0.7099053859710693,-100.0,center_of_mass,-1,870.3780873616537,181.77542877197266,0.3937908496732026,1.0,58.68329588761711,673.1693113970352,9643.41964994208,0.15649526537550487,3.0,,
0,0.7099053859710693,-200.0,performer_connection,-1,1.0,2.0,0.0,1.0,,,,,,1008.9578790492207,
0,0.7099053859710693,-200.0,performer_connection,-1,1.0,3.0,0.0,1.0,,,,,,877.8471189196338,
0,0.7099053859710693,-200.0,performer_connection,-1,2.0,3.0,0.0,1.0,,,,,,132.7029362222514,
1,0.7933850288391113,-100.0,center_of_mass,-1,890.8380279541016,189.9809087117513,0.3493464052287582,1.0,45.05559183016768,658.5036905509044,7970.1153990883795,0.14400414171192108,3.0,,
1,0.7933850288391113,-200.0,performer_connection,-1,1.0,2.0,0.0,1.0,,,,,,987.178436881475,
1,0.7933850288391113,-200.0,performer_connection,-1,1.0,3.0,0.0,1.0,,,,,,857.7373214070857,
1,0.7933850288391113,-200.0,performer_connection,-1,2.0,3.0,0.0,1.0,,,,,,130.59531336415247,
2,0.8750102519989014,-100.0,center_of_mass,-1,922.4065307617187,150.86118545532227,0.35921568627450984,1.0,35.73338245238992,677.451204576262,7131.5989131389015,0.13189119918659994,3.0,,
2,0.8750102519989014,-200.0,performer_connection,-1,1.0,2.0,0.0,1.0,,,,,,1015.7391153408867,
2,0.8750102519989014,-200.0,performer_connection,-1,1.0,3.0,0.0,1.0,,,,,,887.2231258344085,
2,0.8750102519989014,-200.0,performer_connection,-1,2.0,3.0,0.0,1.0,,,,,,129.39137255349056,
3,0.9829518795013428,-100.0,center_of_mass,-1,936.0984395345052,201.0630874633789,0.4000000000000001,1.0,56.21848453833101,692.2367104984241,9100.66325730657,0.134462163219091,3.0,,
3,0.9829518795013428,-200.0,performer_connection,-1,1.0,2.0,0.0,1.0,,,,,,1037.6600508603385,
3,0.9829518795013428,-200.0,performer_connection,-1,1.0,3.0,0.0,1.0,,,,,,912.4770550453512,
