frame,timestamp,object_id,class,keypoint_index,x,y,depth,confidence,spatial_spread,avg_distance,formation_area,symmetry_score,num_performers,distance,distance_to_com
0,1.5953688621520996,-100,center_of_mass,-1,694.1845758611506,545.2646706321023,0.3458110516934046,1.0,179.11898913670078,601.6345987218053,0.0,0.20199218565634344,2.0,,
0,1.5953688621520996,-200,performer_connection,-1,1.0,2.0,0.0,1.0,,,,,,601.6345987218053,
3,2.2103593349456787,-100,center_of_mass,-1,1000.7742492675782,583.99208984375,0.49294117647058827,1.0,158.10718385717092,277.83516516732203,0.0,0.25796187676961846,2.0,,
3,2.2103593349456787,-200,performer_connection,-1,1.0,3.0,0.0,1.0,,,,,,277.83516516732203,
4,2.4062283039093018,-100,center_of_mass,-1,793.5477104187012,565.6977157592773,0.3931372549019608,1.0,138.32968637030902,492.51384200784497,102620.11135593941,0.2904280184485504,3.0,,
4,2.4062283039093018,-200,performer_connection,-1,1.0,3.0,0.0,1.0,,,,,,450.16176656774456,
4,2.4062283039093018,-200,performer_connection,-1,1.0,2.0,0.0,1.0,,,,,,549.3352761023197,
4,2.4062283039093018,-200,performer_connection,-1,3.0,2.0,0.0,1.0,,,,,,478.04448335347064,
5,2.613767623901367,-100,center_of_mass,-1,764.7223646375868,544.8365376790365,0.3200435729847494,1.0,118.01618347196624,498.87653423505157,106141.95317463574,0.27876832367888155,3.0,,
5,2.613767623901367,-200,performer_connection,-1,1.0,3.0,0.0,1.0,,,,,,467.86979267287734,
5,2.613767623901367,-200,performer_connection,-1,1.0,2.0,0.0,1.0,,,,,,546.6567271037359,
5,2.613767623901367,-200,performer_connection,-1,3.0,2.0,0.0,1.0,,,,,,482.1030829285415,
6,2.8191165924072266,-100,center_of_mass,-1,649.2765083312988,443.88389682769775,0.34950980392156855,1.0,124.1812040225231,482.00240082297495,0.0,0.22952101324639754,2.0,,
6,2.8191165924072266,-200,performer_connection,-1,1.0,2.0,0.0,1.0,,,,,,482.00240082297495,
7,3.0133562088012695,-100,center_of_mass,-1,645.642412185669,423.56760025024414,0.39803921568627443,1.0,127.67186588982031,492.92822217154793,0.0,0.22413330651498362,2.0,,
7,3.0133562088012695,-200,performer_connection,-1,1.0,2.0,0.0,1.0,,,,,,492.92822217154793,
8,3.2080419063568115,-100,center_of_mass,-1,629.5237688337054,385.38652638026645,0.40728291316526605,1.0,128.55760207897129,404.6570595497199,0.0,0.23579912552746735,2.0,,
8,3.2080419063568115,-200,performer_connection,-1,1.0,2.0,0.0,1.0,,,,,,404.6570595497199,
9,3.396228313446045,-100,center_of_mass,-1,1095.6313254616477,542.2747546109287,0.41942959001782526,1.0,213.4885900777476,522.1643856984421,0.0,0.42051229750402164,2.0,,
9,3.396228313446045,-200,performer_connection,-1,1.0,4.0,0.0,1.0,,,,,,522.1643856984421,
10,3.5867197513580322,-100,center_of_mass,-1,1245.8870588030134,575.240984235491,0.28907563025210087,1.0,190.38215475785455,554.4761840373939,0.0,0.2511601497864002,2.0,,
10,3.5867197513580322,-200,performer_connection,-1,1.0,4.0,0.0,1.0,,,,,,554.4761840373939,
11,3.7815542221069336,-100,center_of_mass,-1,1302.6604935495477,574.3766624049136,0.16759545923632616,1.0,142.63012667754035,619.345465284798,0.0,0.17867180952896888,2.0,,
11,3.7815542221069336,-200,performer_connection,-1,1.0,4.0,0.0,1.0,,,,,,619.345465284798,
12,3.9762022495269775,-100,center_of_mass,-1,1294.7848607113488,572.5456864206415,0.15706914344685244,1.0,157.4656305682493,680.0031536525568,0.0,0.1642180027500005,2.0,,
12,3.9762022495269775,-200,performer_connection,-1,1.0,4.0,0.0,1.0,,,,,,680.0031536525568,
13,4.166423559188843,-100,center_of_mass,-1,1237.9555541992188,593.7522064208985,0.1962745098039216,1.0,234.79405974668148,739.7635520319661,0.0,0.1711733353717845,2.0,,
13,4.166423559188843,-200,performer_connection,-1,1.0,4.0,0.0,1.0,,,,,,739.7635520319661,
14,4.357362270355225,-100,center_of_mass,-1,1161.5052032470703,593.1469158596462,0.20239651416122006,1.0,173.5433290948303,541.8612928874448,43582.68519344415,0.34905870874023015,3.0,,
14,4.357362270355225,-200,performer_connection,-1,1.0,4.0,0.0,1.0,,,,,,796.2736392597282,
14,4.357362270355225,-200,performer_connection,-1,1.0,3.0,0.0,1.0,,,,,,545.178147127797,
14,4.357362270355225,-200,performer_connection,-1,4.0,3.0,0.0,1.0,,,,,,284.13209227480917,
15,4.549730062484741,-100,center_of_mass,-1,1142.4321236861379,597.6457358912418,0.1953560371517028,1.0,183.44862355323065,592.2607784767079,49959.130538660065,0.31158352580239174,3.0,,
15,4.549730062484741,-200,performer_connection,-1,1.0,4.0,0.0,1.0,,,,,,870.9666521988961,
15,4.549730062484741,-200,performer_connection,-1,1.0,3.0,0.0,1.0,,,,,,621.4550732390579,
15,4.549730062484741,-200,performer_connection,-1,4.0,3.0,0.0,1.0,,,,,,284.3606099921694,
16,4.740838527679443,-100,center_of_mass,-1,1138.6057847675524,599.1722998368112,0.1953560371517027,1.0,180.39544817554028,572.3265062438202,39385.2152117626,0.3103847293363052,3.0,,
16,4.740838527679443,-200,performer_connection,-1,1.0,4.0,0.0,1.0,,,,,,846.9081239557925,
16,4.740838527679443,-200,performer_connection,-1,1.0,3.0,0.0,1.0,,,,,,587.6762598115855,
16,4.740838527679443,-200,performer_connection,-1,4.0,3.0,0.0,1.0,,,,,,282.3951349640827,
